,p11,p13,p21,p23,market share,competitor share
8426,0.5447514362204354,0.30595348739346717,0.8489023342313554,0.08241973230398329,0.0036409934938470136,0.9428970450915185
8427,0.7043253052242908,0.11397655417846887,0.18018826334585458,0.5628424137056772,0.9082204549731575,0.003099758698261573
8428,0.5266514428904369,0.1448559359388461,0.31087801249444147,0.5274093944668726,0.842464457066729,0.007840406555784635
8429,0.5899979880107921,0.28568804092262035,0.9401945311452669,0.024045858989390045,0.0008718478439936131,0.9850044821386686
8430,0.48077001026014166,0.12388496361329965,0.19578420755369041,0.6714605966174085,0.8549208833374479,0.0052301835718940905
8431,0.10054711293890539,0.6866348649826746,0.9716752638978788,0.010243082600602636,0.00014450267816283803,0.9940280310376847
8432,0.9892757402645993,0.03626175248709487,0.06041291639812785,0.7547593672173702,0.9792595061750701,0.0004708235273562959
8433,0.24670354294680508,0.5588122296066438,0.8588578462976932,0.06841966947605613,0.0014512164029152992,0.9546424134095307
8434,0.568931680502366,0.32579466946192387,0.9919122351319739,0.0005179465021284406,1.4927423525567332e-05,0.9996962937051794
8435,0.9383099002420444,0.07245370432527146,0.20170890469856972,0.09422307493418652,0.9558232992885348,0.0019059593787610872
8436,0.6621997965164319,0.24534799090262824,0.08087912669991093,0.24565714490880763,0.789693113185868,0.01015495362852028
8437,0.3786877775031301,0.4771174034714919,0.12979272284284304,0.7204314852614134,0.33852727265332233,0.027178478927648096
8438,0.27276079858253177,0.4815449548882832,0.4549923351075176,0.16438644855643736,0.011632022970695668,0.7933671819317871
8439,0.7579444151578135,0.13649142006336212,0.33047706489100326,0.24824676913529428,0.8956537102090615,0.006050815645570509
8440,0.5947373518047333,0.2363367209331983,0.2167095257557372,0.49586309638170906,0.7742478522715932,0.010173932980495348
8441,0.9512504461324394,0.06786250516137962,0.23494343364140113,0.45066881814231224,0.9593544434984234,0.0013138448399087808
8442,0.4916048785602478,0.40541104200904765,0.33016742433361945,0.1188213829128082,0.04725626642868632,0.7492376594840909
8443,0.22652691957749693,0.26002113704117935,0.36001230664952255,0.33135138788089963,0.10431973935503015,0.4347151325607236
8444,0.9330873501350455,0.06808740848041214,0.6562575076322589,0.31055287014817684,0.9567728142522434,0.002905450897591267
8445,0.9803737765140335,0.07164860899909087,0.4697387794198329,0.44411542103298707,0.9578922259233044,0.001719166176294228
8446,0.7122023989701808,0.21901005640698437,0.11216596632469689,0.5055613302342385,0.8261443806182002,0.006026600231079937
8447,0.8112002072339545,0.16269982164212504,0.3511859693334858,0.3116755901724335,0.8841672741617995,0.006029367227712544
8448,0.4506968721741259,0.39549192319595305,0.23118354308751465,0.6076583129157166,0.5111934103491932,0.026052748838766265
8449,0.4097251737109714,0.5711896320706511,0.6576739676567291,0.29113503348571174,0.013909143582791732,0.7445088573525157
8450,0.3400955491717772,0.603759004664944,0.3434275987580554,0.4216328977430173,0.07040926819861577,0.3167479222070602
8451,0.9061513818958697,0.09903367613989297,0.0478577024361343,0.943436539916892,0.9383043940355726,0.0013114297365277628
8452,0.4346285788758216,0.3926774913844989,0.5027683842068823,0.053638996439582746,0.004680356946442484,0.9368310817215452
8453,0.9644494277787787,0.036026231512775286,0.7627430823694561,0.09580305784689615,0.9766159788132954,0.002836761308128622
8454,0.3993410322991856,0.5415409351722476,0.0026161636285088052,0.8920230113533427,0.3023858162330022,0.01892475092925897
8455,0.38144798448663675,0.5290646770233064,0.92417278433219,0.014508872752037301,0.0003137223362397908,0.9910071376815129
8456,0.8468925841364053,0.1365914772890267,0.4973092484696192,0.46818542966273136,0.9064512923401445,0.0046365137470853555
8457,0.3489095204466762,0.35898522470387173,0.2028835034916462,0.7273592989473512,0.4457956877755366,0.02497550512092788
8458,0.29451038947973107,0.5243945145220309,0.3282732742490856,0.6594936398127957,0.14948013671462165,0.09247039246827231
8459,0.9072205059546833,0.0944751718962798,0.7178112482244341,0.23681096057669246,0.9362572921565603,0.006297875569909459
8460,0.5180930235227643,0.4332781938182757,0.5030993274714806,0.018495991172364744,0.001675225514500433,0.9780013632266931
8461,0.13249627208139458,0.8475162329788207,0.40647919762071183,0.23808070589604904,0.009899072196797767,0.677322869344485
8462,0.5388705236885487,0.13246088083583035,0.10888292412695944,0.341020532888056,0.8607202792485354,0.0065142464671887656
8463,0.20955716020257953,0.4716701900419854,0.0688199203352573,0.39785802537063286,0.12596138895532,0.0676342995619726
8464,0.3503685362153476,0.2948054595943479,0.6439164968717834,0.19753035553535683,0.013149451640321094,0.8203617075942868
8465,0.5954990102673174,0.15894754561965796,0.42934423396014154,0.3343709763605641,0.8410946150872185,0.013464004776444258
8466,0.6921573004302014,0.15380855486198025,0.21239236073035317,0.06596833417736071,0.870837762887218,0.009450516352953582
8467,0.0978455150215728,0.430767531358497,0.5772607263145929,0.19342791361966027,0.00772720014033676,0.8109011382847321
8468,0.8836135002932886,0.11487686396990292,0.5043474222528859,0.21703598264463042,0.9235684728551019,0.005115131742297812
8469,0.3697479487481944,0.3961417767976312,0.4807284538821187,0.4906953533895042,0.1563184825806794,0.3298984464270056
8470,0.01923140599482498,0.16845725127125058,0.593777977161632,0.04242674616728787,0.0018617797382164982,0.9595124234468211
8471,0.3792407390571213,0.37471887625654265,0.28701269922051353,0.043762488164302206,0.00984721727506338,0.9067411204936077
8472,0.7499937616684974,0.16045281898509542,0.003126444089920688,0.34046183390235196,0.8791822926502025,0.004125944074708496
8473,0.04252740857951953,0.6035397419891847,0.6398090091612625,0.14795196533861016,0.0039010426296982046,0.8699530547557635
8474,0.9931655220983284,0.04634746577990806,0.8565660005080757,0.05371212723326129,0.9681688959576161,0.006233044860899948
8475,0.6813056488052317,0.27972665113854056,0.7967938175398368,0.18096977035617906,0.01952965043620523,0.8556371579313647
8476,0.024203205393853566,0.5963445611711431,0.28162595880367824,0.5246837960511108,0.03547478333521113,0.16851697059556692
8477,0.5800087706376644,0.3390793201949136,0.7276097349487072,0.15385260079189633,0.011769341161615637,0.8720260096320208
8478,0.7004674997909205,0.28608247388421426,0.8812846234600592,0.10204810007083742,0.006391672760269411,0.9296679068826965
8479,0.8855324052891015,0.10201972845650711,0.39467765135059074,0.3213398391008836,0.933507789197731,0.003154664465172786
8480,0.3771116630015623,0.16083682525406903,0.7582920747247491,0.18044103755534366,0.011184260081832216,0.859673546627388
8481,0.192957435779465,0.4201580496444879,0.6457728203218529,0.2840623793716214,0.011849919705756261,0.7497790288206253
